code,hl,name
is,ar,الأيسلندية
it,ar,الإيطالية
iw,ar,العبرية
ja,ar,اليابانية
ka,ar,الجورجية
kk,ar,الكازاخستانية
km,ar,الخميرية
kn,ar,الكانادا
ko,ar,الكورية
ky,ar,القيرغيزية
lo,ar,اللاوية
lt,ar,الليتوانية
lv,ar,اللاتفية
mk,ar,المقدونية
ml,ar,المالايالامية
mn,ar,المنغولية
mr,ar,الماراثية
ms,ar,الماليزية
my,ar,البورمية
no,ar,النرويجية
ne,ar,النيبالية
nl,ar,الهولندية
or,ar,الأورية
pa,ar,البنجابية
pl,ar,البولندية
pt,ar,البرتغالية
pt-PT,ar,البرتغالية (البرتغال)
ro,ar,الرومانية
ru,ar,الروسية
si,ar,السنهالية
sk,ar,السلوفاكية
sl,ar,السلوفانية
sq,ar,الألبانية
sr-Latn,ar,الصربية (اللاتينية)
sr,ar,الصربية
sv,ar,السويدية
sw,ar,السواحلية
ta,ar,التاميلية
te,ar,التيلوغوية
th,ar,التايلاندية
tr,ar,التركية
uk,ar,الأوكرانية
ur,ar,الأوردية
uz,ar,الأوزبكية
vi,ar,الفيتنامية
zh-CN,ar,الصينية (الصين)
zh-HK,ar,الصينية (هونغ كونغ)
zh-TW,ar,الصينية (تايوان)
zu,ar,الزولو
af,as,আফ্ৰিকানছ্
am,as,আমহাৰিক
ar,as,আৰবী
as,as,অসমীয়া
az,as,আজেৰবাইজানী
be,as,বেলাৰুছীয়
bg,as,বুলগেৰীয়
bn,as,বাংলা
bs,as,বছনীয়
ca,as,কাতালান
cs,as,চেক
da,as,ডেনিচ
de,as,জাৰ্মান
el,as,গ্ৰীক
en-GB,as,ইংৰাজী (সংযুক্ত ৰাজ্য)
en-IN,as,ইংৰাজী (ভাৰত)
en,as,ইংৰাজী
es,as,স্পেনিচ
es-419,as,স্পেনিচ (লেটিন আমেৰিকা)
es-US,as,স্পেনিচ (মাৰ্কিন যুক্তৰাষ্ট্ৰ)
et,as,এষ্টোনিয়
eu,as,বাস্ক
fa,as,ফাৰ্ছী
fi,as,ফিনিচ
fil,as,ফিলিপিনো
fr-CA,as,ফ্ৰেন্স (কানাডা)
fr,as,ফ্ৰেন্স
gl,as,গেলিচিয়ান
gu,as,গুজৰাটী
hi,as,হিন্দী
hr,as,ক্ৰোৱেচিয়ান
hu,as,হাঙ্গেৰিয়ান
hy,as,আৰ্মেনীয়
id,as,ইণ্ডোনেচিয়
is,as,আইচলেণ্ডিক
it,as,ইটালিয়ান
iw,as,হিব্ৰু
ja,as,জাপানী
ka,as,জৰ্জিয়ান
kk,as,কাজাখ
km,as,খমেৰ
kn,as,কানাড়া
ko,as,কোৰিয়ান
ky,as,কিৰ্গিজ
lo,as,লাও
lt,as,লিথুৱানিয়ান
lv,as,লাটভিয়ান
mk,as,মেচিডোনীয়
ml,as,মালায়ালম
mn,as,মংগোলীয়
mr,as,মাৰাঠী
ms,as,মালয়
my,as,বাৰ্মীজ
no,as,নৰৱেজিয়ান
ne,as,নেপালী
nl,as,ডাচ
or,as,ওড়িয়া
pa,as,পাঞ্জাবী
pl,as,প’লিচ
pt,as,পৰ্তুগীজ
pt-PT,as,পৰ্তুগীজ (পৰ্তুগাল)
ro,as,ৰোমানীয়
ru,as,ৰাছিয়ান
si,as,সিংহলা
sk,as,শ্লোভাক
sl,as,শ্লোভেনিয়ান
sq,as,আলবেনীয়
sr-Latn,as,ছাৰ্বিয়ান (লেটিন)
sr,as,ছাৰ্বিয়ান
sv,as,ছুইডিচ
sw,as,স্বাহিলি
ta,as,তামিল
te,as,তেলুগু
th,as,থাই
tr,as,তুৰ্কী
uk,as,ইউক্ৰেইনীয়
ur,as,উৰ্দু
uz,as,উজবেক
vi,as,ভিয়েটনামী
zh-CN,as,চীনা (চীন)
zh-HK,as,চীনা (হং কং)
zh-TW,as,চীনা (টাইৱান)
zu,as,ঝুলু
af,az,afrikaans
am,az,amhar
ar,az,ərəb
as,az,assam
az,az,azərbaycan
be,az,belarus
bg,az,bolqar
bn,az,benqal
bs,az,bosniya
ca,az,katalan
cs,az,çex
da,az,danimarka
de,az,alman
el,az,yunan
en-GB,az,ingilis (Birləşmiş Krallıq)
en-IN,az,ingilis (Hindistan)
en,az,ingilis
es,az,ispan
es-419,az,ispan (Latın Amerikası)
es-US,az,ispan (Amerika Birləşmiş Ştatları)
et,az,eston
eu,az,bask
fa,az,fars
fi,az,fin
fil,az,filippin
fr-CA,az,fransız (Kanada)
fr,az,fransız
gl,az,qalisiya
gu,az,qucarat
hi,az,hind
hr,az,xorvat
hu,az,macar
hy,az,erməni
id,az,indoneziya
is,az,island
it,az,italyan
iw,az,ivrit
ja,az,yapon
ka,az,gürcü
kk,az,qazax
km,az,kxmer
kn,az,kannada
ko,az,koreya
ky,az,qırğız
lo,az,laos
lt,az,litva
lv,az,latış
mk,az,makedon
ml,az,malayalam
mn,az,monqol
mr,az,marathi
ms,az,malay
my,az,birman
no,az,norveç
ne,az,nepal
nl,az,holland
or,az,odiya
pa,az,pəncab
pl,az,polyak
pt,az,portuqal
pt-PT,az,portuqal (Portuqaliya)
ro,az,rumın
ru,az,rus
si,az,sinhala
sk,az,slovak
sl,az,sloven
sq,az,alban
sr-Latn,az,serb (latın)
sr,az,serb
sv,az,isveç
sw,az,suahili
ta,az,tamil
te,az,teluqu
th,az,tay
tr,az,türk
uk,az,ukrayna
ur,az,urdu
uz,az,özbək
vi,az,vyetnam
zh-CN,az,çin (Çin)
zh-HK,az,çin (Honq Konq)
zh-TW,az,çin (Tayvan)
zu,az,zulu
af,be,афрыкаанс
am,be,амхарская
ar,be,арабская
as,be,асамская
az,be,азербайджанская
be,be,беларуская
bg,be,балгарская
bn,be,бенгальская
bs,be,баснійская
ca,be,каталанская
cs,be,чэшская
da,be,дацкая
de,be,нямецкая
el,be,грэчаская
en-GB,be,англійская (Вялікабрытанія)
en-IN,be,англійская (Індыя)
en,be,англійская
es,be,іспанская
es-419,be,іспанская (Лацінская Амерыка)
es-US,be,іспанская (Злучаныя Штаты Амерыкі)
et,be,эстонская
eu,be,баскская
fa,be,фарсі
fi,be,фінская
fil,be,філіпінская
fr-CA,be,французская (Канада)
fr,be,французская
gl,be,галісійская
gu,be,гуджараці
hi,be,хіндзі
hr,be,харвацкая
hu,be,венгерская
hy,be,армянская
id,be,інданезійская
is,be,ісландская
it,be,італьянская
iw,be,іўрыт
ja,be,японская
ka,be,грузінская
kk,be,казахская
km,be,кхмерская
kn,be,канада
ko,be,карэйская
ky,be,кіргізская
lo,be,лаоская
lt,be,літоўская
lv,be,латышская
mk,be,македонская
ml,be,малаялам
mn,be,мангольская
mr,be,маратхі
ms,be,малайская
my,be,бірманская
no,be,нарвежская
ne,be,непальская
nl,be,нідэрландская
or,be,орыя
pa,be,панджабі
pl,be,польская
pt,be,партугальская
pt-PT,be,партугальская (Партугалія)
ro,be,румынская
ru,be,руская
si,be,сінгальская
sk,be,славацкая
sl,be,славенская
sq,be,албанская
sr-Latn,be,сербская (лацініца)
sr,be,сербская
sv,be,шведская
sw,be,суахілі
ta,be,тамільская
te,be,тэлугу
th,be,тайская
tr,be,турэцкая
uk,be,украінская
ur,be,урду
uz,be,узбекская
vi,be,в’етнамская
zh-CN,be,кітайская (Кітай)
zh-HK,be,кітайская (Ганконг)
zh-TW,be,кітайская (Тайвань)
zu,be,зулу
af,bg,африканс
am,bg,амхарски
ar,bg,арабски
as,bg,асамски
az,bg,азербайджански
be,bg,беларуски
bg,bg,български
bn,bg,бенгалски
bs,bg,босненски
ca,bg,каталонски
cs,bg,чешки
da,bg,датски
de,bg,немски
el,bg,гръцки
en-GB,bg,английски (Обединеното кралство)
en-IN,bg,английски (Индия)
en,bg,английски
es,bg,испански
es-419,bg,испански (Латинска Америка)
es-US,bg,испански (Съединени щати)
et,bg,естонски
eu,bg,баски
fa,bg,персийски
fi,bg,фински
fil,bg,филипински
fr-CA,bg,френски (Канада)
fr,bg,френски
gl,bg,галисийски
gu,bg,гуджарати
hi,bg,хинди
hr,bg,хърватски
hu,bg,унгарски
hy,bg,арменски
id,bg,индонезийски
is,bg,исландски
it,bg,италиански
iw,bg,иврит
ja,bg,японски
ka,bg,грузински
kk,bg,казахски
km,bg,кхмерски
kn,bg,каннада
ko,bg,корейски
ky,bg,киргизки
lo,bg,лаоски
lt,bg,литовски
lv,bg,латвийски
mk,bg,македонски
ml,bg,малаялам
mn,bg,монголски
mr,bg,марати
ms,bg,малайски
my,bg,бирмански
no,bg,норвежки
ne,bg,непалски
nl,bg,нидерландски
or,bg,ория
pa,bg,пенджабски
pl,bg,полски
pt,bg,португалски
pt-PT,bg,португалски (Португалия)
ro,bg,румънски
ru,bg,руски
si,bg,синхалски
sk,bg,словашки
sl,bg,словенски
sq,bg,албански
sr-Latn,bg,сръбски (латиница)
sr,bg,сръбски
sv,bg,шведски
sw,bg,суахили
ta,bg,тамилски
te,bg,телугу
th,bg,тайски
tr,bg,турски
uk,bg,украински
ur,bg,урду
uz,bg,узбекски
vi,bg,виетнамски
zh-CN,bg,китайски (Китай)
zh-HK,bg,китайски (Хонконг)
zh-TW,bg,китайски (Тайван)
zu,bg,зулуски
af,bn,আফ্রিকান
am,bn,আমহারিক
ar,bn,আরবি
as,bn,অসমীয়া
az,bn,আজারবাইজানী
be,bn,বেলারুশিয়
bg,bn,বুলগেরিয়
bn,bn,বাংলা
bs,bn,বসনীয়
ca,bn,কাতালান
cs,bn,চেক
da,bn,ডেনিশ
de,bn,জার্মান
el,bn,গ্রিক
en-GB,bn,ইংরেজি (যুক্তরাজ্য)
en-IN,bn,ইংরেজি (ভারত)
en,bn,ইংরেজি
es,bn,স্প্যানিশ
es-419,bn,স্প্যানিশ (লাতিন আমেরিকা)
es-US,bn,স্প্যানিশ (মার্কিন যুক্তরাষ্ট্র)
et,bn,এস্তোনীয়
eu,bn,বাস্ক
fa,bn,ফার্সি
fi,bn,ফিনিশ
fil,bn,ফিলিপিনো
fr-CA,bn,ফরাসি (কানাডা)
fr,bn,ফরাসি
gl,bn,গ্যালিশিয়
gu,bn,গুজরাটি
hi,bn,হিন্দি
hr,bn,ক্রোয়েশীয়
hu,bn,হাঙ্গেরীয়
hy,bn,আর্মেনিয়
id,bn,ইন্দোনেশীয়
is,bn,আইসল্যান্ডীয়
it,bn,ইতালিয়
iw,bn,হিব্রু
ja,bn,জাপানি
ka,bn,জর্জিয়ান
kk,bn,কাজাখ
km,bn,খমের
kn,bn,কন্নড়
ko,bn,কোরিয়ান
ky,bn,কির্গিজ
lo,bn,লাও
lt,bn,লিথুয়েনীয়
lv,bn,লাত্‌ভীয়
mk,bn,ম্যাসিডোনীয়
ml,bn,মালায়ালাম
mn,bn,মঙ্গোলিয়
mr,bn,মারাঠি
ms,bn,মালয়
my,bn,বর্মি
no,bn,নরওয়েজীয়
ne,bn,নেপালী
nl,bn,ওলন্দাজ
or,bn,ওড়িয়া
pa,bn,পাঞ্জাবী
pl,bn,পোলিশ
pt,bn,পর্তুগীজ
pt-PT,bn,পর্তুগীজ (পর্তুগাল)
ro,bn,রোমানীয়
ru,bn,রুশ
si,bn,সিংহলী
sk,bn,স্লোভাক
sl,bn,স্লোভেনীয়
sq,bn,আলবেনীয়
sr-Latn,bn,সার্বীয় (ল্যাটিন)
sr,bn,সার্বীয়
sv,bn,সুইডিশ
sw,bn,সোয়াহিলি
ta,bn,তামিল
te,bn,তেলুগু
th,bn,থাই
tr,bn,তুর্কী
uk,bn,ইউক্রেনীয়
ur,bn,উর্দু
uz,bn,উজবেক
vi,bn,ভিয়েতনামী
zh-CN,bn,চীনা (চীন)
zh-HK,bn,চীনা (হংকং)
zh-TW,bn,চীনা (তাইওয়ান)
zu,bn,জুলু
af,bs,afrikans
am,bs,amharski
ar,bs,arapski
as,bs,asamski
az,bs,azerbejdžanski
be,bs,bjeloruski
bg,bs,bugarski
bn,bs,bengalski
bs,bs,bosanski
ca,bs,katalonski
cs,bs,češki
da,bs,danski
de,bs,njemački
el,bs,grčki
en-GB,bs,engleski (Ujedinjeno Kraljevstvo)
en-IN,bs,engleski (Indija)
en,bs,engleski
es,bs,španski
es-419,bs,španski (Latinska Amerika)
es-US,bs,španski (Sjedinjene Države)
et,bs,estonski
eu,bs,baskijski
fa,bs,perzijski
fi,bs,finski
fil,bs,filipino
fr-CA,bs,francuski (Kanada)
fr,bs,francuski
gl,bs,galicijski
gu,bs,gudžarati
hi,bs,hindi
hr,bs,hrvatski
hu,bs,mađarski
hy,bs,armenski
id,bs,indonezijski
is,bs,islandski
it,bs,italijanski
iw,bs,hebrejski
ja,bs,japanski
ka,bs,gruzijski
kk,bs,kazaški
km,bs,kmerski
kn,bs,kanada
ko,bs,korejski
ky,bs,kirgiški
lo,bs,laoski
lt,bs,litvanski
lv,bs,latvijski
mk,bs,makedonski
ml,bs,malajalam
mn,bs,mongolski
mr,bs,marati
ms,bs,malajski
my,bs,burmanski
no,bs,norveški
ne,bs,nepalski
nl,bs,nizozemski
or,bs,odija
pa,bs,pandžapski
pl,bs,poljski
pt,bs,portugalski
pt-PT,bs,portugalski (Portugal)
ro,bs,rumunski
ru,bs,ruski
si,bs,sinhaleški
sk,bs,slovački
sl,bs,slovenski
sq,bs,albanski
sr-Latn,bs,srpski (latinica)
sr,bs,srpski
sv,bs,švedski
sw,bs,svahili
ta,bs,tamilski
te,bs,telugu
th,bs,tajlandski
tr,bs,turski
uk,bs,ukrajinski
ur,bs,urdu
uz,bs,uzbečki
vi,bs,vijetnamski
zh-CN,bs,kineski (Kina)
